Contact,Actor,Action,Timestamp,,,
853a7b24-e6df-494f-9d7f-a7b7330244ec,Contact Action,SiteVisit,2024-02-14 19:07:09,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,System Action,Email Log,2024-02-14 19:06:28,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,SubmittedForm,2024-02-14 19:06:20,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,Appointment,2024-02-14 19:06:20,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,ADLogin,2024-02-14 19:02:22,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,ADLogin,2024-02-14 19:02:19,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,PopupView,2024-02-14 18:53:10,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,PopupView,2024-02-14 18:51:19,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,SiteVisit,2024-02-14 18:51:16,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,PartialForm,2024-02-14 18:07:04,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,SiteVisit,2024-02-14 18:06:37,,,
636688d2-742e-4e39-b49f-ca6d5dc666a2,System Action,Email Log,2024-02-14 17:49:40,,,
636688d2-742e-4e39-b49f-ca6d5dc666a2,Contact Action,SubmittedForm,2024-02-14 17:49:33,,,
636688d2-742e-4e39-b49f-ca6d5dc666a2,Contact Action,Appointment,2024-02-14 17:49:33,,,
2dd7a997-61d9-43bb-a0f0-d5a7ea3b34c6,Contact Action,SiteVisit,2024-02-14 17:31:50,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,PopupView,2024-02-14 17:03:53,,,
19c0f3be-6424-45d1-84cf-a44dd459da43,Contact Action,SiteVisit,2024-02-14 17:03:49,,,
2dd7a997-61d9-43bb-a0f0-d5a7ea3b34c6,Contact Action,ADLogin,2024-02-14 16:56:27,,,
fbd52aea-921b-4a8e-9bfc-553bb0792ee8,Contact Action,EmailOpen,2024-02-14 16:51:11,,,
c838ef06-7a17-4519-a6f6-f133439d8abc,Contact Action,EmailOpen,2024-02-14 16:48:18,,,
fbd52aea-921b-4a8e-9bfc-553bb0792ee8,Contact Action,EmailLinkClick,2024-02-14 16:47:23,,,
fbd52aea-921b-4a8e-9bfc-553bb0792ee8,Contact Action,EmailOpen,2024-02-14 16:47:23,,,
fbd52aea-921b-4a8e-9bfc-553bb0792ee8,Contact Action,ShortUrlClick,2024-02-14 16:47:22,,,
fbd52aea-921b-4a8e-9bfc-553bb0792ee8,System Action,Email Log,2024-02-14 16:46:00,,,
fbd52aea-921b-4a8e-9bfc-553bb0792ee8,Contact Action,Appointment,2024-02-14 16:45:53,,,
fbd52aea-921b-4a8e-9bfc-553bb0792ee8,Contact Action,SubmittedForm,2024-02-14 16:45:52,,,
2dd7a997-61d9-43bb-a0f0-d5a7ea3b34c6,System Action,Email Log,2024-02-14 16:39:52,,,
2dd7a997-61d9-43bb-a0f0-d5a7ea3b34c6,Contact Action,EmailOpen,2024-02-14 16:38:34,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,PopupView,2024-02-14 16:35:19,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:35:15,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:35:15,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:35:15,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:35:15,,,
c838ef06-7a17-4519-a6f6-f133439d8abc,System Action,Email Log,2024-02-14 16:34:49,,,
c838ef06-7a17-4519-a6f6-f133439d8abc,Contact Action,SubmittedForm,2024-02-14 16:34:45,,,
c838ef06-7a17-4519-a6f6-f133439d8abc,Contact Action,Appointment,2024-02-14 16:34:45,,,
c838ef06-7a17-4519-a6f6-f133439d8abc,Contact Action,GoalCompletion,2024-02-14 16:34:45,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,PopupView,2024-02-14 16:34:28,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:34:17,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:34:13,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:34:13,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:34:13,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockClick,2024-02-14 16:34:07,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,PopupView,2024-02-14 16:34:01,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:33:52,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:33:52,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:33:52,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:33:52,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,PopupView,2024-02-14 16:33:42,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:33:34,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:33:34,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:33:34,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:33:34,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:33:31,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:33:31,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:33:31,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockClick,2024-02-14 16:33:29,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,PopupView,2024-02-14 16:33:24,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:33:16,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:33:16,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,PopupView,2024-02-14 16:33:01,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:32:56,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:32:56,,,
ed464759-6c83-45e1-979a-3f2e8dc171d4,Contact Action,DynamicBlockView,2024-02-14 16:32:56,,,
